SupplierID,SupplierName,EvaluationDate,EvaluationPeriod,QualityScore,DeliveryScore,CostScore,InnovationScore,ResponsivenessScore,SustainabilityScore,OverallScore,Category,BusinessUnit,Evaluator,Comments,ImprovementPlan,NextReviewDate,TrendIndicator
TW_SUP_0058,Kennet Clark Group,2024-02-03,Q1 2023,10,4,9,2,10,6,7.1,Customer Service Solutions,Wastewater Collection & Treatment,Elizabeth White,Dependable supplier with strong operational delivery.,Weekly performance review meetings for 3 months,2024-07-03,Improving
TW_SUP_0132,Cyber Jones Dynamics,2024-06-09,Q3 2023,9,5,10,2,3,5,6.5,Customer Service Solutions,IT & Digital Transformation,Barbara Thomas,Adequate performance but minimal value-added contributions.,Monthly executive reviews until performance stabilizes,2024-10-20,Improving
TW_SUP_0141,Thames Clark Consulting,2023-11-08,Q4 2022,5,10,9,5,10,10,8.1,Research & Development,"Health, Safety & Environment",Richard Harris,Good overall performance with room for improvement in innovation.,Weekly performance review meetings for 3 months,2024-05-04,Improving
TW_SUP_0021,Clear Wright Systems,2023-11-21,Q4 2022,8,8,10,5,10,8,8.3,Leakage Detection Services,Wastewater Collection & Treatment,David Scott,Reliable performance with occasional excellence in key areas.,Quality management system review,2024-03-10,Improving
TW_SUP_0117,Enviro Robinson Engineering,2023-08-11,Q3 2022,4,10,3,8,4,10,6.3,Facilities Management,Wastewater Collection & Treatment,Mark Thompson,Acceptable performance with some service delivery issues.,Joint process improvement workshops scheduled,2024-01-26,Declining
TW_SUP_0127,Southern Jones Dynamics,2023-10-09,Q4 2022,4,8,7,4,8,10,6.6,Customer Service Solutions,Strategic Resource Planning,Betty Walker,Meets contractual obligations with little additional value.,Corrective action required within 60 days,2024-02-22,Stable
TW_SUP_0042,Southern White Ltd,2024-06-04,Q3 2023,7,3,8,6,10,10,6.7,Water Treatment Plant Operations,Strategic Resource Planning,Susan Martin,Meets contractual obligations with little additional value.,Corrective action required within 60 days,2024-10-22,Stable
TW_SUP_0019,Flow Garcia Systems,2025-04-12,Q2 2024,5,9,3,5,7,10,6.3,Research & Development,Procurement & Supply Chain,Nancy Young,Acceptable performance with some service delivery issues.,Formal improvement plan with 90-day reassessment,2025-09-09,Stable
TW_SUP_0130,Tech Anderson Dynamics,2023-12-12,Q1 2023,5,8,4,6,9,7,6.3,Renewable Energy Solutions,Water Production & Treatment,Sandra Martin,Standard service with occasional quality concerns.,Corrective action required within 60 days,2024-03-27,Improving
TW_SUP_0110,Southern Wilson Engineering,2024-06-08,Q3 2023,8,6,6,7,10,9,7.3,Facilities Management,Procurement & Supply Chain,Anthony Jones,Good overall performance with room for improvement in innovation.,No improvement plan needed - performance exceeds requirements,2024-11-01,Improving
TW_SUP_0018,Hydro Clark Systems,2024-01-03,Q1 2023,7,4,7,2,5,10,5.9,Renewable Energy Solutions,Human Resources,Lisa Walker,Acceptable performance with some service delivery issues.,Corrective action required within 60 days,2024-06-30,Declining
TW_SUP_0135,Chem Jackson Dynamics,2025-01-01,Q1 2024,10,10,3,10,5,10,8.1,Renewable Energy Solutions,Capital Delivery Programmes,Linda Moore,Consistently meets requirements with some areas of strength.,Weekly performance review meetings for 3 months,2025-06-13,Improving
TW_SUP_0080,Digital Lewis PLC,2023-09-01,Q3 2022,7,10,4,6,6,10,7.2,Leakage Detection Services,Water Production & Treatment,Jessica Brown,Dependable supplier with strong operational delivery.,Weekly performance review meetings for 3 months,2024-01-13,Stable
TW_SUP_0067,Chem Wright Group,2025-04-04,Q2 2024,10,7,4,5,6,6,6.8,Research & Development,Asset Management Strategy,Sandra Martinez,Standard service with occasional quality concerns.,Delivery process review and optimization,2025-09-05,Stable
TW_SUP_0041,Kennet Smith Ltd,2024-08-22,Q3 2023,9,3,5,10,3,6,5.9,Renewable Energy Solutions,Asset Management Strategy,Margaret Lewis,Meets contractual obligations with little additional value.,Supplier development program participation required,2025-01-05,Stable
TW_SUP_0150,Data Smith Consulting,2024-08-23,Q3 2023,6,3,9,10,5,4,6.0,Waste Management & Sludge Treatment,Finance & Regulation,Christopher Jones,Adequate performance but minimal value-added contributions.,Supplier development program participation required,2025-01-28,Declining
TW_SUP_0024,Kennet Green Systems,2024-04-12,Q2 2023,8,10,10,6,6,4,8.1,Customer Service Solutions,Finance & Regulation,Mark Williams,Reliable performance with occasional excellence in key areas.,Supplier development program participation required,2024-09-13,Stable
TW_SUP_0033,Chem Jones Systems,2023-10-22,Q4 2022,7,10,9,4,3,7,7.5,Heavy Plant & Equipment Hire,Procurement & Supply Chain,Matthew Young,Dependable supplier with strong operational delivery.,No improvement plan needed - performance exceeds requirements,2024-03-24,Stable
TW_SUP_0020,Pipe White Systems,2023-10-11,Q4 2022,6,9,9,7,4,8,7.5,Heavy Plant & Equipment Hire,Asset Management Strategy,Jessica Scott,Dependable supplier with strong operational delivery.,No improvement plan needed - performance exceeds requirements,2024-03-11,Stable
TW_SUP_0094,UK Jones Services,2024-05-06,Q2 2023,10,9,7,6,4,9,8.1,Chemicals Supply,Strategic Resource Planning,Jennifer White,Solid service delivery with good communication.,Formal improvement plan with 90-day reassessment,2024-08-28,Stable
TW_SUP_0141,Thames Allen Consulting,2023-07-23,Q3 2022,6,9,8,5,8,5,7.1,Renewable Energy Solutions,Human Resources,Linda Robinson,Good overall performance with room for improvement in innovation.,No improvement plan needed - performance exceeds requirements,2024-01-19,Stable
TW_SUP_0052,Hydro Hall Group,2024-08-17,Q3 2023,3,10,8,6,10,10,7.4,Customer Service Solutions,Wastewater Collection & Treatment,Matthew Hall,Solid service delivery with good communication.,No improvement plan needed - performance exceeds requirements,2025-01-29,Stable
TW_SUP_0054,Pipe Smith Group,2025-02-18,Q1 2024,5,3,8,8,9,9,6.2,Pipeline & Network Maintenance,IT & Digital Transformation,Joseph Clark,Meets basic requirements but lacks consistency.,Formal improvement plan with 90-day reassessment,2025-08-09,Stable
TW_SUP_0150,Data Clark Consulting,2024-08-24,Q3 2023,7,3,10,4,8,4,6.1,Professional Services,Network Operations & Maintenance,Linda King,Standard service with occasional quality concerns.,Weekly performance review meetings for 3 months,2025-02-07,Improving
TW_SUP_0056,Thames White Group,2023-07-10,Q3 2022,5,7,6,8,9,6,6.5,Waste Management & Sludge Treatment,Asset Management Strategy,Anthony Thompson,Meets basic requirements but lacks consistency.,Corrective action required within 60 days,2023-10-24,Improving
TW_SUP_0094,UK Lee Services,2024-05-16,Q2 2023,9,3,9,5,7,7,6.7,IT & Technology Solutions,"Health, Safety & Environment",Margaret Martin,Meets basic requirements but lacks consistency.,Monthly executive reviews until performance stabilizes,2024-09-10,Declining
TW_SUP_0079,Tech Robinson PLC,2024-11-13,Q4 2023,9,3,10,10,9,3,7.2,Customer Service Solutions,Asset Management Strategy,Anthony Thompson,Good overall performance with room for improvement in innovation.,No improvement plan needed - performance exceeds requirements,2025-04-29,Improving
TW_SUP_0078,London Rodriguez PLC,2025-05-14,Q2 2024,4,4,9,6,4,3,5.1,Civil Engineering & Construction,Strategic Resource Planning,Lisa Jackson,Meets basic requirements but lacks consistency.,Supplier development program participation required,2025-08-30,Declining
TW_SUP_0044,London Lee Ltd,2024-10-27,Q4 2023,9,8,9,8,8,7,8.3,Mechanical & Electrical Engineering,"Health, Safety & Environment",Christopher Hall,Good overall performance with room for improvement in innovation.,Supplier development program participation required,2025-04-23,Improving
TW_SUP_0036,Flow King Ltd,2023-06-22,Q3 2022,10,4,6,4,5,3,5.9,Chemicals Supply,Capital Delivery Programmes,Karen Allen,Standard service with occasional quality concerns.,Monthly executive reviews until performance stabilizes,2023-10-02,Stable
TW_SUP_0136,Aqua Jackson Consulting,2024-02-01,Q1 2023,10,7,10,9,10,3,8.5,Mechanical & Electrical Engineering,Procurement & Supply Chain,Matthew Brown,Best-in-class supplier with exceptional quality and delivery.,None required - continue current approach,2024-06-06,Stable
TW_SUP_0083,Enviro Williams PLC,2024-01-11,Q1 2023,10,6,10,2,8,4,7.4,Research & Development,Customer Operations & Retail,William Jones,Dependable supplier with strong operational delivery.,No improvement plan needed - performance exceeds requirements,2024-06-21,Improving
TW_SUP_0065,Data Miller Group,2023-10-03,Q4 2022,5,6,4,9,8,8,6.0,Leakage Detection Services,Asset Management Strategy,James White,Meets contractual obligations with little additional value.,Weekly performance review meetings for 3 months,2024-02-12,Declining
TW_SUP_0021,Clear Miller Systems,2025-04-14,Q2 2024,4,4,9,6,9,3,5.6,Pipeline & Network Maintenance,IT & Digital Transformation,Mary Scott,Adequate performance but minimal value-added contributions.,Corrective action required within 60 days,2025-08-02,Stable
TW_SUP_0111,UK Lee Engineering,2024-10-04,Q4 2023,8,4,10,5,6,10,7.1,Pipeline & Network Maintenance,Water Production & Treatment,Margaret Lee,Dependable supplier with strong operational delivery.,No improvement plan needed - performance exceeds requirements,2025-03-23,Improving
TW_SUP_0031,Data Moore Systems,2024-05-21,Q2 2023,7,8,5,6,8,10,7.1,Waste Management & Sludge Treatment,Strategic Resource Planning,Sarah Miller,Dependable supplier with strong operational delivery.,Quality management system review,2024-10-20,Stable
TW_SUP_0009,UK Harris Solutions,2024-01-14,Q1 2023,5,8,5,4,4,5,5.6,Water Treatment Plant Operations,Wastewater Collection & Treatment,Sarah Green,Meets basic requirements but lacks consistency.,Joint process improvement workshops scheduled,2024-05-02,Stable
TW_SUP_0015,Enviro Garcia Solutions,2025-05-16,Q2 2024,5,3,7,6,8,8,5.6,Water Treatment Plant Operations,Capital Delivery Programmes,Karen Martinez,Standard service with occasional quality concerns.,Weekly performance review meetings for 3 months,2025-09-07,Improving
TW_SUP_0022,Thames Wright Systems,2023-10-12,Q4 2022,6,4,7,6,3,10,5.8,Renewable Energy Solutions,IT & Digital Transformation,Robert Wilson,Adequate performance but minimal value-added contributions.,Monthly executive reviews until performance stabilizes,2024-03-11,Declining
TW_SUP_0036,Flow Thomas Ltd,2023-11-13,Q4 2022,6,9,6,6,10,9,7.5,Professional Services,Capital Delivery Programmes,Susan Brown,Consistently meets requirements with some areas of strength.,Formal improvement plan with 90-day reassessment,2024-03-23,Stable
TW_SUP_0066,Enviro King Group,2023-06-21,Q3 2022,6,7,5,6,8,2,5.8,Water Treatment Plant Operations,Water Production & Treatment,Jessica Johnson,Adequate performance but minimal value-added contributions.,Joint process improvement workshops scheduled,2023-10-13,Declining
TW_SUP_0042,Southern Lee Ltd,2024-06-23,Q3 2023,5,6,3,5,3,9,5.1,Waste Management & Sludge Treatment,IT & Digital Transformation,Anthony Robinson,Standard service with occasional quality concerns.,Weekly performance review meetings for 3 months,2024-09-30,Stable
TW_SUP_0016,Chem Walker Solutions,2025-02-08,Q1 2024,8,9,5,8,8,2,7.0,Chemicals Supply,Wastewater Collection & Treatment,Mark Brown,Reliable performance with occasional excellence in key areas.,Corrective action required within 60 days,2025-06-26,Stable
TW_SUP_0003,Pipe Scott Solutions,2024-09-18,Q4 2023,6,4,3,3,5,8,4.7,Pipeline & Network Maintenance,Network Operations & Maintenance,Joseph Jackson,Multiple performance failures requiring formal improvement plan.,Monthly executive reviews until performance stabilizes,2025-02-06,Significantly Declining
TW_SUP_0063,Digital King Group,2024-11-25,Q1 2024,7,5,6,3,8,8,6.1,Facilities Management,IT & Digital Transformation,Joseph Jackson,Acceptable performance with some service delivery issues.,Monthly executive reviews until performance stabilizes,2025-05-01,Declining
TW_SUP_0060,UK Allen Group,2023-10-04,Q4 2022,7,3,4,3,6,5,4.7,Waste Management & Sludge Treatment,Human Resources,Charles Martinez,Multiple performance failures requiring formal improvement plan.,Supplier development program participation required,2024-03-09,Significantly Declining
TW_SUP_0047,Cyber Lewis Ltd,2023-06-13,Q3 2022,9,7,3,10,10,5,7.1,Pipeline & Network Maintenance,Water Production & Treatment,Charles Anderson,Reliable performance with occasional excellence in key areas.,Corrective action required within 60 days,2023-09-15,Improving
TW_SUP_0084,Chem Williams PLC,2023-09-18,Q4 2022,8,9,6,5,5,5,7.0,Facilities Management,Network Operations & Maintenance,James Jones,Reliable performance with occasional excellence in key areas.,Quality management system review,2024-02-22,Stable
TW_SUP_0097,Digital Clark Services,2024-03-06,Q2 2023,4,9,9,9,4,3,6.7,Facilities Management,IT & Digital Transformation,Jessica Jackson,Acceptable performance with some service delivery issues.,Formal improvement plan with 90-day reassessment,2024-06-05,Declining
TW_SUP_0103,Hydro Miller Engineering,2023-06-29,Q3 2022,5,3,7,6,4,10,5.4,Professional Services,Procurement & Supply Chain,Anthony Johnson,Meets basic requirements but lacks consistency.,Joint process improvement workshops scheduled,2023-11-19,Stable
TW_SUP_0020,Pipe Lewis Systems,2025-01-03,Q1 2024,6,7,9,3,8,2,6.3,IT & Technology Solutions,Human Resources,Margaret Jackson,Adequate performance but minimal value-added contributions.,Delivery process review and optimization,2025-05-14,Declining
TW_SUP_0004,Clear Davis Solutions,2024-09-18,Q4 2023,3,4,8,10,4,8,5.5,Research & Development,Finance & Regulation,Robert Wright,Meets basic requirements but lacks consistency.,Weekly performance review meetings for 3 months,2025-01-05,Stable
TW_SUP_0088,Pipe Scott Services,2025-05-11,Q2 2024,10,7,7,5,10,8,8.0,Waste Management & Sludge Treatment,Procurement & Supply Chain,Margaret Garcia,Good overall performance with room for improvement in innovation.,Supplier development program participation required,2025-09-12,Stable
TW_SUP_0011,Tech Young Solutions,2024-07-30,Q3 2023,10,9,5,8,7,2,7.5,Professional Services,Asset Management Strategy,Matthew Brown,Dependable supplier with strong operational delivery.,Corrective action required within 60 days,2024-12-28,Stable
TW_SUP_0117,Enviro Jones Engineering,2024-01-03,Q1 2023,8,6,8,4,6,4,6.5,Heavy Plant & Equipment Hire,Strategic Resource Planning,Sandra Anderson,Meets contractual obligations with little additional value.,Supplier development program participation required,2024-06-01,Declining
TW_SUP_0030,Cyber Rodriguez Systems,2024-06-11,Q3 2023,9,4,8,5,9,6,6.8,Research & Development,Strategic Resource Planning,Margaret Harris,Meets basic requirements but lacks consistency.,Weekly performance review meetings for 3 months,2024-09-11,Stable
TW_SUP_0002,Flow Jackson Solutions,2024-09-12,Q4 2023,3,3,5,2,4,10,4.1,Pipeline & Network Maintenance,Water Production & Treatment,Jessica Clark,Inconsistent quality and reliability causing operational impacts.,Formal improvement plan with 90-day reassessment,2025-01-29,Stable
TW_SUP_0061,London Hall Group,2023-05-25,Q3 2022,6,9,7,8,8,10,7.8,Pipeline & Network Maintenance,Strategic Resource Planning,Jessica Martinez,Reliable performance with occasional excellence in key areas.,Quality management system review,2023-09-22,Improving
TW_SUP_0070,Flow Robinson PLC,2024-08-23,Q3 2023,9,5,3,7,6,2,5.6,Research & Development,Strategic Resource Planning,Karen Harris,Meets basic requirements but lacks consistency.,Formal improvement plan with 90-day reassessment,2024-11-21,Improving
TW_SUP_0089,Clear King Services,2024-07-01,Q3 2023,6,9,9,5,5,6,7.2,Customer Service Solutions,Procurement & Supply Chain,Jessica Scott,Solid service delivery with good communication.,No improvement plan needed - performance exceeds requirements,2024-12-12,Improving
TW_SUP_0134,Enviro Smith Dynamics,2023-05-25,Q3 2022,7,6,8,9,6,9,7.2,Waste Management & Sludge Treatment,Strategic Resource Planning,Jennifer Clark,Solid service delivery with good communication.,Quality management system review,2023-11-14,Declining
TW_SUP_0122,Pipe King Dynamics,2023-08-24,Q3 2022,9,5,7,3,7,10,6.9,Civil Engineering & Construction,Network Operations & Maintenance,Christopher Smith,Standard service with occasional quality concerns.,Supplier development program participation required,2024-01-26,Stable
TW_SUP_0104,Flow Robinson Engineering,2024-11-12,Q4 2023,5,10,7,7,3,3,6.5,Civil Engineering & Construction,IT & Digital Transformation,Christopher Lee,Adequate performance but minimal value-added contributions.,Delivery process review and optimization,2025-05-01,Improving
TW_SUP_0054,Pipe Wright Group,2024-10-09,Q4 2023,3,10,9,10,9,3,7.2,Facilities Management,Human Resources,Jessica Williams,Solid service delivery with good communication.,Supplier development program participation required,2025-02-20,Declining
TW_SUP_0103,Hydro Martin Engineering,2023-10-15,Q4 2022,7,5,5,7,7,5,5.9,Civil Engineering & Construction,Asset Management Strategy,Sandra Brown,Standard service with occasional quality concerns.,Formal improvement plan with 90-day reassessment,2024-03-09,Stable
TW_SUP_0009,UK Thomas Solutions,2025-02-10,Q1 2024,9,10,3,2,4,10,7.0,Facilities Management,IT & Digital Transformation,Richard Davis,Good overall performance with room for improvement in innovation.,No improvement plan needed - performance exceeds requirements,2025-08-03,Stable
TW_SUP_0022,Thames Allen Systems,2024-03-16,Q2 2023,9,8,3,7,7,3,6.5,Chemicals Supply,Human Resources,Michael Martin,Standard service with occasional quality concerns.,Corrective action required within 60 days,2024-07-02,Declining
TW_SUP_0120,Hydro Miller Dynamics,2023-11-05,Q4 2022,4,5,7,10,9,3,5.9,Mechanical & Electrical Engineering,Asset Management Strategy,Susan Miller,Standard service with occasional quality concerns.,Quality management system review,2024-04-29,Stable
TW_SUP_0031,Data Johnson Systems,2023-06-09,Q3 2022,10,7,10,4,8,4,7.9,Facilities Management,"Health, Safety & Environment",John Jackson,Solid service delivery with good communication.,Formal improvement plan with 90-day reassessment,2023-11-04,Stable
TW_SUP_0027,London Brown Systems,2025-05-18,Q2 2024,6,7,4,6,9,9,6.5,Facilities Management,Finance & Regulation,Jennifer King,Adequate performance but minimal value-added contributions.,Joint process improvement workshops scheduled,2025-10-31,Declining
TW_SUP_0120,Hydro Anderson Dynamics,2024-01-07,Q1 2023,5,5,8,3,5,4,5.3,Research & Development,Capital Delivery Programmes,Anthony Moore,Adequate performance but minimal value-added contributions.,Supplier development program participation required,2024-04-15,Stable
TW_SUP_0079,Tech Lewis PLC,2025-02-09,Q1 2024,8,10,10,10,10,10,9.5,Civil Engineering & Construction,Wastewater Collection & Treatment,Jessica Thompson,Exemplary service delivery with innovative solutions.,None required - continue current approach,2025-07-10,Stable
TW_SUP_0103,Hydro Scott Engineering,2023-07-10,Q3 2022,6,5,10,8,3,4,6.2,Research & Development,Network Operations & Maintenance,Betty Garcia,Acceptable performance with some service delivery issues.,Weekly performance review meetings for 3 months,2023-10-21,Declining
TW_SUP_0034,Aqua Wilson Ltd,2024-05-17,Q2 2023,5,7,3,10,6,8,6.0,Facilities Management,Wastewater Collection & Treatment,Christopher Martin,Standard service with occasional quality concerns.,Quality management system review,2024-10-06,Stable
TW_SUP_0129,London Wright Dynamics,2024-02-10,Q1 2023,6,7,10,3,9,4,6.9,Renewable Energy Solutions,Procurement & Supply Chain,Mary Wilson,Meets contractual obligations with little additional value.,Corrective action required within 60 days,2024-06-28,Stable
TW_SUP_0108,Severn Hall Engineering,2024-04-30,Q2 2023,3,4,4,5,6,4,4.0,Facilities Management,Strategic Resource Planning,Joseph Taylor,Inconsistent quality and reliability causing operational impacts.,Monthly executive reviews until performance stabilizes,2024-08-04,Significantly Declining
TW_SUP_0063,Digital Wilson Group,2024-07-25,Q3 2023,9,4,7,2,3,6,5.8,Customer Service Solutions,Procurement & Supply Chain,Richard Thomas,Meets basic requirements but lacks consistency.,Formal improvement plan with 90-day reassessment,2024-12-21,Stable
TW_SUP_0039,Thames Rodriguez Ltd,2025-03-17,Q2 2024,10,9,4,2,9,5,7.2,Chemicals Supply,Network Operations & Maintenance,James Green,Solid service delivery with good communication.,Joint process improvement workshops scheduled,2025-07-17,Improving
TW_SUP_0101,Chem Smith Services,2024-10-25,Q4 2023,3,10,5,8,10,9,7.0,Civil Engineering & Construction,Procurement & Supply Chain,Sarah Green,Solid service delivery with good communication.,Monthly executive reviews until performance stabilizes,2025-03-18,Stable
TW_SUP_0069,Hydro Rodriguez PLC,2024-07-26,Q3 2023,4,5,7,8,9,2,5.6,Professional Services,Strategic Resource Planning,Linda Harris,Meets contractual obligations with little additional value.,Quality management system review,2024-12-22,Improving
TW_SUP_0139,Pipe Martin Consulting,2023-07-03,Q3 2022,5,10,5,3,7,5,6.2,Waste Management & Sludge Treatment,"Health, Safety & Environment",Jennifer Smith,Meets contractual obligations with little additional value.,Quality management system review,2023-12-11,Stable
TW_SUP_0060,UK Johnson Group,2023-08-15,Q3 2022,9,4,7,4,3,3,5.7,Waste Management & Sludge Treatment,Human Resources,Daniel Rodriguez,Meets basic requirements but lacks consistency.,Delivery process review and optimization,2024-01-09,Declining
TW_SUP_0051,Aqua Davis Group,2024-08-02,Q3 2023,3,5,10,2,3,4,4.9,Water Treatment Plant Operations,Capital Delivery Programmes,Michael Allen,Poor response times and inadequate problem resolution.,Formal improvement plan with 90-day reassessment,2024-12-02,Declining
TW_SUP_0076,Southern Wright PLC,2024-07-02,Q3 2023,8,3,6,7,5,5,5.7,Renewable Energy Solutions,Finance & Regulation,Linda Thomas,Meets contractual obligations with little additional value.,Corrective action required within 60 days,2024-11-24,Stable
TW_SUP_0086,Hydro Lee Services,2023-09-15,Q4 2022,3,4,9,3,5,10,5.3,Waste Management & Sludge Treatment,Capital Delivery Programmes,Thomas Lee,Standard service with occasional quality concerns.,Formal improvement plan with 90-day reassessment,2024-02-21,Declining
TW_SUP_0075,Kennet Hall PLC,2024-04-15,Q2 2023,8,3,7,5,7,6,6.0,Leakage Detection Services,Wastewater Collection & Treatment,Sandra Anderson,Adequate performance but minimal value-added contributions.,Corrective action required within 60 days,2024-09-03,Improving
TW_SUP_0048,Data Moore Ltd,2025-01-09,Q1 2024,10,3,8,7,10,10,7.5,Chemicals Supply,Customer Operations & Retail,Lisa Rodriguez,Consistently meets requirements with some areas of strength.,Quality management system review,2025-06-20,Stable
TW_SUP_0015,Enviro Wilson Solutions,2024-06-06,Q3 2023,10,5,4,9,3,2,6.0,Leakage Detection Services,"Health, Safety & Environment",Karen Lewis,Meets contractual obligations with little additional value.,Joint process improvement workshops scheduled,2024-10-14,Declining
TW_SUP_0146,London Garcia Consulting,2024-04-12,Q2 2023,9,9,6,5,10,3,7.5,Facilities Management,Strategic Resource Planning,Michael Lewis,Solid service delivery with good communication.,Monthly executive reviews until performance stabilizes,2024-07-20,Stable
TW_SUP_0002,Flow Clark Solutions,2025-05-05,Q2 2024,3,6,9,9,7,4,6.1,IT & Technology Solutions,Customer Operations & Retail,Karen Davis,Meets basic requirements but lacks consistency.,Supplier development program participation required,2025-09-30,Declining
TW_SUP_0006,Severn Clark Solutions,2023-07-19,Q3 2022,3,9,3,4,10,4,5.4,IT & Technology Solutions,Finance & Regulation,James Clark,Meets contractual obligations with little additional value.,Formal improvement plan with 90-day reassessment,2023-12-01,Improving
TW_SUP_0063,Digital Robinson Group,2024-08-12,Q3 2023,10,4,9,5,4,4,6.6,Customer Service Solutions,Asset Management Strategy,Linda Green,Adequate performance but minimal value-added contributions.,Corrective action required within 60 days,2025-01-21,Declining
TW_SUP_0063,Digital Jones Group,2023-09-12,Q4 2022,3,6,9,4,9,5,5.9,Mechanical & Electrical Engineering,Finance & Regulation,Elizabeth Lewis,Acceptable performance with some service delivery issues.,Supplier development program participation required,2024-02-12,Declining
TW_SUP_0016,Chem Jones Solutions,2023-06-10,Q3 2022,9,4,3,8,6,10,6.2,IT & Technology Solutions,Human Resources,Sarah Thompson,Adequate performance but minimal value-added contributions.,Supplier development program participation required,2023-11-30,Stable
TW_SUP_0129,London Wright Dynamics,2024-06-19,Q3 2023,6,3,5,5,9,4,5.1,Chemicals Supply,Customer Operations & Retail,Elizabeth Lewis,Adequate performance but minimal value-added contributions.,Corrective action required within 60 days,2024-11-05,Declining
TW_SUP_0046,Digital Allen Ltd,2024-08-29,Q4 2023,7,6,10,8,4,4,6.9,Renewable Energy Solutions,Capital Delivery Programmes,Thomas Jackson,Meets basic requirements but lacks consistency.,Supplier development program participation required,2024-12-03,Stable
TW_SUP_0074,Severn Green PLC,2023-08-01,Q3 2022,9,7,3,8,10,5,6.9,Civil Engineering & Construction,Customer Operations & Retail,Barbara Johnson,Standard service with occasional quality concerns.,Corrective action required within 60 days,2024-01-19,Declining
TW_SUP_0027,London Taylor Systems,2023-06-05,Q3 2022,10,10,7,8,9,5,8.6,Facilities Management,Human Resources,Linda Rodriguez,Proactive partner delivering significant value above contract requirements.,None required - continue current approach,2023-09-05,Stable
